Nom station de métro,Temps vers station suivante (min)
Porte de Charenton,2
Porte Dorée,2
Michel Bizot,2
Daumesnil,2
Montgallet,2
Reuilly - Diderot,2
Faidherbe - Chaligny,2
Ledru-Rollin,2
Bastille,2
Chemin Vert,2
Saint-Sébastien - Froissart,2
Filles du Calvaire,2
République,2
Strasbourg - Saint-Denis,2
Bonne Nouvelle,2
Grands Boulevards,2
Richelieu - Drouot,2
Opéra,2
Madeleine,2
Concorde,2
Invalides,2
La Tour-Maubourg,2
École Militaire,2
La Motte-Picquet - Grenelle,2
Commerce,2
Félix Faure,2
Boucicaut,2
Lourmel,2
Balard,0